mu,SER
0.0050007403836281545,0.00246
0.009774216952029282,0.00848
0.001391793992085429,0.00185
0.005664777606078394,0.0030499999999999998
0.008575212157658432,0.005695
0.0011011179988377872,0.00279
0.006035520848832799,0.003
0.0028100110251420914,0.0014
0.007056909048557593,0.00339
0.0032971553494982675,0.00198
0.0001362728627050465,0.30212
0.0027487628751867656,0.00211
0.0024502703309368054,0.00215
0.0038405475491531515,0.0019000000000000002
0.001484173763958764,0.004235
0.003963060651094862,0.0018900000000000002
0.0017234816264747937,0.0025
0.0003445140178688897,0.05859
0.004824677312014286,0.002065
0.00227194020266465,0.00209
0.0037905655484932275,0.00179
0.004155838711992781,0.002405
0.003155325096025481,0.00182
0.0031978002280055786,0.0021999999999999997
0.00604815764227336,0.0032700000000000003
0.004440982486246865,0.001875
0.0034350312840337343,0.00165
0.00228311970026992,0.0017200000000000002
0.0025190834528374265,0.001955
0.0008153676370842786,0.008135
0.003638727346696784,0.00148
0.0019323917479417666,0.0017599999999999998
0.0032051917089694886,0.00208
0.005144583281693671,0.00213
0.002203855357783144,0.0014399999999999999
0.004927211232672164,0.00204
0.007115518681975137,0.00375
0.0008367282413671343,0.008525000000000001
0.0036281263731430292,0.00186
0.009797722974253355,0.00747
0.001977806095707275,0.004525
0.003043602406952494,0.00175
0.002767766838611273,0.00171
0.0028001595541847484,0.002495
0.0045030066868598315,0.00179
0.0012955132289603688,0.00264
0.0035181932036621403,0.00145
0.003578868262294823,0.0014399999999999999
0.004316235626481473,0.00203
0.005242335915692637,0.00236
0.0034828357711356663,0.00155
0.0036000149763487817,0.00146
0.003918492828386239,0.0013900000000000002
0.0055102359663251705,0.0030099999999999997
0.004023658402841117,0.00176
0.0016877023872696557,0.00173
0.004754262080427724,0.0022500000000000003
0.006138151934791948,0.0034149999999999996
0.0028228928133125692,0.0017200000000000002
0.0023891236471134374,0.00125
0.0019579017932795616,0.0020800000000000003
0.0024657437535375933,0.00145
0.002336238893552508,0.001725
0.002535719361818269,0.002565
0.003040281090618077,0.001325
0.002939924135520818,0.0014
0.003107959537359494,0.00136
0.009203143170007424,0.005945
0.0020837744410728727,0.00244
0.0029706509409409805,0.00232
0.0016215958351740404,0.00215
0.003897852049192603,0.00184
0.0032635746971329048,0.00151
0.0026382434315479477,0.00183
0.004174624719867061,0.0015600000000000002
0.002201289452999556,0.00186
0.0030396389679691713,0.0018800000000000002
0.0012916326941053626,0.00418
0.0038048433698364297,0.00185
0.0033313686497631976,0.0015500000000000002
0.002925377090535676,0.0014000000000000002
0.002934068545129789,0.0019450000000000001
0.0025678380887136252,0.0022199999999999998
0.0032395271772927715,0.00166
0.0009655799488802943,0.003865
0.0023347157901929838,0.00149
0.0027565610738727133,0.0018
0.0036732239001623134,0.0015300000000000001
0.0018742662447676505,0.002295
0.004536776326356745,0.00205
0.0034841495355855457,0.0022
0.003099374675255473,0.003105
0.004142135217377909,0.0017599999999999998
0.0034081682203512035,0.00165
0.0021571474777367147,0.00146
0.0037723744896871665,0.00219
0.002701035733456522,0.00176
0.0029548964141641178,0.0020499999999999997
0.00242029927662043,0.00157
0.004010227754728873,0.002075
