mu,SER
0.006129369596331255,0.00179
0.002530517648977289,0.00021
0.0014124594907432948,0.00027
0.005784144150579241,0.00126
0.007927977668657996,0.717995
0.0012603944497484238,0.00019
0.008853453475301077,0.88908
0.0009370796026720912,0.00030000000000000003
0.008059134443871354,0.44992
0.006216513456316815,0.00202
0.003545747844386302,0.00046
0.002991630729837649,0.00026
0.00017819855377802958,0.93669
0.0028533864156486425,0.00029
0.003954292125799666,0.00049
0.0018841623517261738,0.00024000000000000003
0.00199498774179166,0.00016
0.004539041586105156,0.00067
0.00011826362425409109,0.813985
0.0019420094595500798,0.00018
0.005289787500481202,0.000895
0.0016021736089341502,0.00026000000000000003
0.0024528989055896937,0.00030000000000000003
0.0011402126257038132,0.00033
0.0038138740580030465,0.00051
0.0007494987514929396,0.000565
0.0021158172832611457,0.00019
0.004748750912094872,0.00068
0.0032370780127736276,0.00031
0.006684619858783497,0.002155
0.0005205878271341802,0.9376599999999999
0.001994873769590398,0.00015000000000000001
0.0020296494266361983,0.00023
0.0014022327694460756,0.00019999999999999998
0.002562112894501125,0.00028000000000000003
0.001549762585239546,0.00017
0.0041640256176482485,0.00054
0.00227793290705217,0.00015999999999999999
0.0026079596419354353,0.00026999999999999995
0.0032636809407505024,0.00029
0.001473433809773002,0.00025
0.0021230833987869037,0.00025
0.009839674712727318,0.9287650000000001
0.0009120114286953057,0.0004
0.0016656117616783803,0.00017999999999999998
0.0005671674069523862,0.0006299999999999999
0.0015807023343080307,0.00021999999999999998
0.0028832579274051706,0.000325
0.0011002298735142487,0.00033
0.002354712561103024,0.00024
0.003381610572755357,0.00038
0.0020147351698815204,0.00023999999999999998
0.0028280324746482776,0.000355
0.001743681193800633,0.00025
0.0012232716346952679,0.00028
0.00036282443065510607,0.936825
0.007243000166497666,0.003895
0.0017721012827024592,0.00029
0.0036797394949967177,0.00049
0.002307714830316083,0.00022
0.005261010301861118,0.000915
0.0009315027912200198,0.00038
0.0013845321223603302,0.00024
0.0006735141750484398,0.00065
0.001787321723127988,0.00021
0.0027201512707838767,0.00024000000000000003
0.0030365010413568403,0.00034
0.0022164303818197765,0.00030000000000000003
0.00013093185508265565,0.9188050000000001
0.0011360357514083308,0.00029
0.004165141838471146,0.00052
0.0020122651112902436,0.00023
0.0014803551683140773,0.00025
0.0024089843105343607,0.00030000000000000003
0.0058023605399380234,0.00133
0.0018720778503682873,0.0002
0.0008305193341143072,0.00038
0.0025864545850769484,0.00023
0.003062965690079315,0.00031
0.0012852769320740964,0.00029
0.0016433625178482814,0.00019999999999999998
0.0021433997752790673,0.00015000000000000001
0.001999772094432978,0.00023999999999999998
0.0022711399495179306,0.00019
0.0011226378815931358,0.00021999999999999998
0.001559168605545966,0.00021999999999999998
0.0003729349287413606,0.002055
0.0034986015233708307,0.00033
0.0026857870291750754,0.000265
0.002091644821988129,0.00018
0.002463061171875333,0.00025
0.0018805806446882372,0.00018
0.0018852311677479629,0.00023999999999999998
0.002202910790112584,0.00018
0.0021881887985166796,0.00017
0.0017654151538435713,0.0002
0.0032371360471407833,0.00030500000000000004
0.0014022225110639662,0.00034
0.0021221042220137096,0.00016
0.002897473414198229,0.00027499999999999996
