mu,SER
0.0030075640511148076,0.00963
0.0008373744084027769,0.100605
0.006689527415055013,0.0060750000000000005
0.001388422123183009,0.037794999999999995
0.0011874828433687211,0.09209
0.008962970778676386,0.008480000000000001
0.008711212464327706,0.008324999999999999
0.0027187671287167785,0.01451
0.002012643102691827,0.018045
0.00118827831012359,0.070315
0.005942050824444629,0.006795
0.0064244252965660244,0.006585000000000001
0.006121928296133889,0.006954999999999999
0.007529912009180625,0.006745
0.004512875037858464,0.0058449999999999995
0.004156924305132629,0.00879
0.004426298678176467,0.00728
0.007415885369953612,0.00743
0.009849234467921594,0.00979
0.005215244557588846,0.005405
0.004968587515302378,0.00647
0.0041242226671860055,0.006915
0.0055324918380567694,0.006059999999999999
0.005335950800392816,0.00767
0.0033822986254705228,0.008664999999999999
0.005137929226985423,0.006665000000000001
0.0037631139216845865,0.008119999999999999
0.005466809939799915,0.006475
0.007140403485112518,0.00683
0.002908391944932133,0.010765
0.00010838926655905561,0.849185
0.006860074549977235,0.006095
0.00820799207596061,0.007180000000000001
0.004645348107119926,0.006865
0.006206376756791474,0.00554
0.005825279102352955,0.005095000000000001
0.00602730872179362,0.005690000000000001
0.007936726395513535,0.007175
0.005897742130295815,0.006500000000000001
0.006634552911284598,0.006030000000000001
0.006275447620946461,0.005595
0.006201745386555104,0.00648
0.005709903026483855,0.00591
0.006833268598505716,0.005915
0.004947022001069836,0.00614
0.006406158828924772,0.0052899999999999996
0.006577615427858595,0.0068850000000000005
0.007934995296543554,0.0060149999999999995
0.0071172190478999186,0.006670000000000001
0.008705077192762553,0.007855000000000001
0.0023568652152080637,0.01393
0.006302432390638395,0.005615
0.006461580402163505,0.0059299999999999995
0.006227305524501001,0.00792
0.007420471761359912,0.007415
0.005683434619611167,0.00581
0.004915624672251093,0.007015
0.005394201190555342,0.0057
0.00705570992612263,0.00625
0.004203074500320692,0.007965
0.006346129953565724,0.005985000000000001
0.005914273353667922,0.00634
0.005991442229126742,0.007405
0.0051408521981606906,0.006105
0.004625583698750978,0.0066099999999999996
0.005645682549973113,0.00698
0.007683334604851722,0.0072250000000000005
0.006890788802646867,0.00536
0.00698686883132175,0.00694
0.006624757906699977,0.006314999999999999
0.007358088431511403,0.00788
0.006172884111345575,0.00567
0.006260339033346339,0.005095000000000001
0.006702632949100214,0.0071400000000000005
0.005320956586829693,0.006370000000000001
0.0057904223411478365,0.005275
0.005811736380122454,0.00584
0.004794394557198239,0.005715
0.005194833362423422,0.006025000000000001
0.0056345073105694395,0.005235
0.0035479605185515894,0.00924
0.005475578138145226,0.0053950000000000005
0.005491595170013977,0.00545
0.0043175772664816574,0.00683
0.005528645291607201,0.005805
0.005491414066813204,0.0049499999999999995
0.004740599583448221,0.005894999999999999
0.0050957774325502605,0.007795
0.005829766072313061,0.00486
0.0057821350221748564,0.00579
0.005993271540634213,0.0060750000000000005
0.005342655439760304,0.0059299999999999995
0.0039418184745314425,0.008435
0.006565666912363929,0.007035
0.004451535950813804,0.00604
0.006812646279154046,0.00625
0.0056580709249872355,0.005995
0.006445087425246046,0.00644
0.006059410166980705,0.00745
0.005103261986467778,0.0065450000000000005
