mu,SER
0.003552339313741832,0.00026
0.004011013250030114,0.00015000000000000001
0.0022866752774407598,0.00029
0.006883324193281018,0.00011
0.009150923370006617,0.00018
0.008647053241603263,0.00023500000000000002
0.008865058811419909,0.00017
0.0025933068576719427,0.00019
0.004660629232981769,0.00018
0.008779503384698418,0.0002
0.006607141489209747,0.00018
0.005822147129263641,0.00015000000000000001
0.00669578803482559,0.00027
0.00020071213099916857,0.062479999999999994
0.00469701897736644,0.00014000000000000001
0.007378621884552425,0.00023
0.005212821042554496,0.00017999999999999998
0.009958951523376378,0.00016
0.007647170444356993,0.00013
0.007640258320746772,0.00015000000000000001
0.007777129373949227,0.00014000000000000001
0.006000929496903931,0.00019
0.0051763979958213985,0.00015999999999999999
0.006864996015128043,0.00019999999999999998
0.004126351290997485,0.00021999999999999998
0.005720137574215275,7.000000000000001e-05
0.0059484136853456574,0.000135
0.007979927226782122,0.00021
0.009929997462260002,0.0002
0.0029063767378947,0.00014
0.0070926372773976515,0.00019
0.005985955387542034,0.00023999999999999998
0.00618057894147817,0.00015000000000000001
0.0053908038563705895,0.00017
0.003793312687969356,0.00022
0.0080846179445107,0.00015000000000000001
0.0014096380532158002,0.00051
0.006435790554440035,0.00018
0.00844926414761115,0.00023999999999999998
0.007179445445460422,0.00018
0.005593894820686139,0.00016
0.0032772197863862804,0.00025
0.003013265681679544,0.00026
0.001863418149201367,0.00039000000000000005
0.004736818456710961,0.00015000000000000001
0.004230469480189998,0.00011999999999999999
0.00666958173327335,0.00012
0.006401079374349651,0.00013000000000000002
0.009218109346138214,0.00017
0.004209491709864571,0.0002
0.0075073649784177555,0.00014000000000000001
0.006333217954782075,0.00014000000000000001
0.006819496961559974,0.00012
0.008359774843772753,0.00019
0.006925984147862862,0.0002
0.006668493095185301,0.00016
0.005574728627081868,0.00023
0.004887586008001541,0.00018
0.004273084178621972,0.00010999999999999999
0.004546873393206531,0.00016
0.003480082574319478,0.00017999999999999998
0.007459985290820225,0.00017999999999999998
0.0044006772044856484,0.00016
0.005032526558919822,0.00025
0.0037258370465344027,0.00018
0.007207222264844905,0.00021
0.005638670263070543,0.00016999999999999999
0.006647325012314555,0.00017
0.007906535144374248,0.00014
0.005306332952214591,0.00021
0.003938324124083868,0.00025
0.006130676449527997,0.00017500000000000003
0.006551575125727775,0.0002
0.00587753026549224,0.00019
0.006876314061752879,0.00019
0.0062709464722651076,0.0002
0.007358403252324461,9e-05
0.007690581205375361,0.00016
0.009028275025085509,0.00022
0.007231073317324961,0.00022
0.008211725745632817,0.000185
0.0070471671051302465,0.00015000000000000001
0.0064530690952302626,0.00012000000000000002
0.007371338609393171,0.00018999999999999998
0.00774169424764336,0.00021999999999999998
0.006794642321955527,0.00016999999999999999
0.005766083922873013,0.00017
0.005422388183790896,0.00017
0.004248419934250469,0.00021999999999999998
0.006048071918520012,0.00017
0.008526552881825484,0.00021
0.00637020345362496,8.999999999999999e-05
0.006469522130002396,9e-05
0.006435885865016662,7.000000000000001e-05
0.005060790492686139,0.00013000000000000002
0.006940760109025989,0.00016
0.006229825167443386,0.00026
0.006714920071742311,0.00019
0.005817178681552293,0.00020999999999999998
0.006505961802648638,0.00016
