mu,SER
0.0009533712447439371,0.080745
0.00826016523536071,0.007445
0.0003168613293168531,0.764865
0.0050258360417090074,0.006305
0.008252939509800163,0.00787
0.002098825764482801,0.01644
0.004904228176376587,0.006200000000000001
0.009659972180060929,0.009305
0.0012187558269401465,0.06942000000000001
0.002492885942765481,0.01592
0.004556417612305007,0.007565
0.0046875076878760665,0.00625
0.006453060568637959,0.0053100000000000005
0.0066587438990625076,0.006670000000000001
0.00638802439870743,0.0070999999999999995
0.0034868427243955917,0.007554999999999999
0.006532795405818493,0.005690000000000001
0.006639246652834989,0.00563
0.007779014098695082,0.007745
0.009786475456899025,0.009315
0.007305850287985782,
0.006046769322143902,0.005875
0.007592328883802549,0.007605
0.0058946553366793645,0.006059999999999999
0.007066034662991895,0.006425
0.005686881591423209,0.008035
0.0038490351659016516,0.00766
0.007151696949522239,0.00757
0.008844190156334858,0.007995
0.003760291343782137,0.009915
0.005560119622563867,0.0057599999999999995
0.006900305442132367,0.005695
0.00667694371977012,0.00661
0.008539648419529177,0.0078049999999999994
0.007337905416965839,0.006920000000000001
0.007803619731893963,0.0076100000000000004
0.005494564029610101,0.00608
0.006438988346453321,0.006935
0.009000679971150012,0.00926
0.00811806171138121,0.00677
0.005206103509628541,0.00727
0.006924991261874262,0.007135000000000001
0.006172891508811697,0.00645
0.005524787605363654,0.007045
0.005000306633246156,0.0062900000000000005
0.004323690201710494,0.006345
0.006693823273755412,0.0057599999999999995
0.006097364127736368,0.00547
0.007378768038930821,0.006745
0.00013356273167004686,0.7688250000000001
0.0062165785400265135,0.00669
0.008005605000892495,0.0065450000000000005
0.005274410330263713,0.0068249999999999995
0.004373872660822853,0.007965
0.005900253612590394,0.0066500000000000005
0.00654924825276692,0.0066549999999999995
0.006920130434635747,0.00692
0.0029133907307376606,0.015075
0.0048364619002606805,0.005815000000000001
0.0009048003050821504,0.117035
0.006101895119233359,0.005695
0.007460574792719424,0.007130000000000001
0.0057645430833204395,0.00746
0.006158019967296909,0.008175
0.006883610504388349,0.0064399999999999995
0.005399323061321159,0.006235
0.006303949197590429,0.0062900000000000005
0.005846729456097535,0.005795
0.007745929151526703,0.00765
0.00648989791630875,0.007095
0.0069824743253410594,0.006275
0.00845828434068419,0.006925
0.006669799375208853,0.007365
0.005604647707499638,0.006255
0.007112814456925321,0.007735
0.006761311751623543,0.0058449999999999995
0.006069824712008417,0.00625
0.007228034603472838,0.00631
0.006410608987943433,0.00581
0.005949015084190053,0.006075
0.005135185619518572,0.00747
0.00475371746451601,0.006580000000000001
0.005789816978773352,0.005465
0.005620858281151444,0.007594999999999999
0.006653989669826943,0.00749
0.006272089862420845,0.006
0.0076183047794600575,0.00787
0.005968514139444285,0.00642
0.0054409452634328415,0.005520000000000001
0.004580208626221839,0.00659
0.0053788569952439415,0.007475
0.004108230120983857,0.00748
0.00514533935211935,0.007615
0.005785209017323092,0.005855
0.006500209074292193,0.00582
0.0067740149480604046,0.007795
0.0061176505534684174,0.00613
0.005584283617175826,0.007495
0.004992990398561919,0.008665
0.007234638514497402,0.006495
0.006408253596335041,0.00782
